reknr,omschr,debet,credit,afsluiten,afgesloten,btwkode,grootboek,apko,kode,debeta,credita,debetper,creditper,fiche,omschrfr,omschrde,omschren,marge,wagenpark
"400001","HANDELSDEBITEUREN - V.O.",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"288700","GROENWAARBORG WVI",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"288600","HUURWAARBORG WATER QUEBEC",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"288500","WAARBORG PALETTEN",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"240030","HARDWARE",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"288300","WAARBORG REGISTRATIE",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"242000","gsm telefoon",0.0000,0.0000,"",F,"B","J","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"288100","WAARBORG WATER",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"288000","BETAALDE BORGTOCHTEN",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"252119","GEB. AFSCHR. ROLL. MAT. IN LEASING (PW)",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"252110","ROLL. MATERIEEL - PW - IN LEASING",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"242130","leasing (niet)",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"242120","ROLLEND MATERIEEL - HEFTRUCKS",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"242110","ROLLEND MATERIEEL - PW -",0.0000,0.0000,"",F,"B","N","A","",0.0000,0.0000,0.0000,0.0000,"b","","",""," "," "
"240010","BUREELMATERIEEL",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"288400","WAARBORG GEMEENTE RUISELEDE",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"550060","KBC - 28 7360 2840 6920",0.0000,0.0000,"",F," ","N","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"549000","OPLEIDINGSCHEQUES",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"251009","GEB.AFSCHR.MEUBILAIR (niet)",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"340100","VOORRAAD GOEDEREN 17%",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"340000","VOORRAAD GOEDEREN 6%",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"240019","GEB.AFSCHR.BUREELMATERIEEL",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"252509","GEB.AFSCHR.MOTOR",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"240029","GEB.AFSCHR.SOFTWARE",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"252000","ROLLEND MATERIEEL (niet)",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"550200","RES REKENING",0.0000,0.0000,"",F," "," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"251000","MEUBILAIR (niet)",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
"242129","GEB. AFSCHR. ROLL. MAT. - HEFTRUCKS",0.0000,0.0000,"",F,"B"," ","A","",0.0000,0.0000,0.0000,0.0000," ","","",""," "," "
